# Finkelstein 2024 (ApJL 969, L2)
# Cosmology: H0=67.36, Om=0.3153, OL=0.6847 (Planck 2018)
# Units: phi in 10^-6 mag^-1 Mpc^-3 (original × 10^-5 converted × 10 to match donnan et al)
# Format: z_median, M_UV, phi, sigma_up, sigma_down, effective volume (Mpc^3)
# Note: z~9 bin = 8.5<=z<=9.7, z~11 bin = 9.7<=z<=13, z~14 bin = 13<=z<=15
8.9,  -22.0,   11,    7,    6, 187000
8.9,  -21.0,   22,   13,   10, 193000
8.9,  -20.5,   82,   40,   32, 177000
8.9,  -20.0,   96,   46,   36, 161000
8.9,  -19.5,  286,  115,   91, 120000
8.9,  -19.0,  268,  124,  100, 77900
10.9, -20.5,   18,   12,    9, 354000
10.9, -20.0,   54,   27,   21, 306000
10.9, -19.5,   76,   39,   30, 220000
14.0, -20.0,   26,   33,   18, 85400
14.0, -19.5,   73,   69,   44, 60600
