run_name,model,data,shmr,zcut,has_uvlf,has_bg,has_cmb,use_donnan_bins,use_finkelstein_bins,n_sampled_params,folder_path
exo_ceers_fixed_full,exo,ceers,fixed,full,True,False,False,False,True,5,exotic/full/fixed/exo_ceers_fixed_full
exo_primer_fixed_full,exo,primer,fixed,full,True,False,False,True,False,5,exotic/full/fixed/exo_primer_fixed_full
exo_uvlf_fixed_full,exo,uvlf,fixed,full,True,False,False,True,True,5,exotic/full/fixed/exo_uvlf_fixed_full
exo_ceers_bg_fixed_full,exo,ceers_bg,fixed,full,True,True,False,False,True,5,exotic/full/fixed/exo_ceers_bg_fixed_full
exo_primer_bg_fixed_full,exo,primer_bg,fixed,full,True,True,False,True,False,5,exotic/full/fixed/exo_primer_bg_fixed_full
exo_uvlf_bg_fixed_full,exo,uvlf_bg,fixed,full,True,True,False,True,True,5,exotic/full/fixed/exo_uvlf_bg_fixed_full
exo_ceers_cmb_fixed_full,exo,ceers_cmb,fixed,full,True,False,True,False,True,8,exotic/full/fixed/exo_ceers_cmb_fixed_full
exo_primer_cmb_fixed_full,exo,primer_cmb,fixed,full,True,False,True,True,False,8,exotic/full/fixed/exo_primer_cmb_fixed_full
exo_uvlf_cmb_fixed_full,exo,uvlf_cmb,fixed,full,True,False,True,True,True,8,exotic/full/fixed/exo_uvlf_cmb_fixed_full
exo_ceers_bg_cmb_fixed_full,exo,ceers_bg_cmb,fixed,full,True,True,True,False,True,8,exotic/full/fixed/exo_ceers_bg_cmb_fixed_full
exo_primer_bg_cmb_fixed_full,exo,primer_bg_cmb,fixed,full,True,True,True,True,False,8,exotic/full/fixed/exo_primer_bg_cmb_fixed_full
exo_uvlf_bg_cmb_fixed_full,exo,uvlf_bg_cmb,fixed,full,True,True,True,True,True,8,exotic/full/fixed/exo_uvlf_bg_cmb_fixed_full
exo_ceers_vbeta_full,exo,ceers,vbeta,full,True,False,False,False,True,6,exotic/full/vbeta/exo_ceers_vbeta_full
exo_primer_vbeta_full,exo,primer,vbeta,full,True,False,False,True,False,6,exotic/full/vbeta/exo_primer_vbeta_full
exo_uvlf_vbeta_full,exo,uvlf,vbeta,full,True,False,False,True,True,6,exotic/full/vbeta/exo_uvlf_vbeta_full
exo_ceers_bg_vbeta_full,exo,ceers_bg,vbeta,full,True,True,False,False,True,6,exotic/full/vbeta/exo_ceers_bg_vbeta_full
exo_primer_bg_vbeta_full,exo,primer_bg,vbeta,full,True,True,False,True,False,6,exotic/full/vbeta/exo_primer_bg_vbeta_full
exo_uvlf_bg_vbeta_full,exo,uvlf_bg,vbeta,full,True,True,False,True,True,6,exotic/full/vbeta/exo_uvlf_bg_vbeta_full
exo_ceers_cmb_vbeta_full,exo,ceers_cmb,vbeta,full,True,False,True,False,True,9,exotic/full/vbeta/exo_ceers_cmb_vbeta_full
exo_primer_cmb_vbeta_full,exo,primer_cmb,vbeta,full,True,False,True,True,False,9,exotic/full/vbeta/exo_primer_cmb_vbeta_full
exo_uvlf_cmb_vbeta_full,exo,uvlf_cmb,vbeta,full,True,False,True,True,True,9,exotic/full/vbeta/exo_uvlf_cmb_vbeta_full
exo_ceers_bg_cmb_vbeta_full,exo,ceers_bg_cmb,vbeta,full,True,True,True,False,True,9,exotic/full/vbeta/exo_ceers_bg_cmb_vbeta_full
exo_primer_bg_cmb_vbeta_full,exo,primer_bg_cmb,vbeta,full,True,True,True,True,False,9,exotic/full/vbeta/exo_primer_bg_cmb_vbeta_full
exo_uvlf_bg_cmb_vbeta_full,exo,uvlf_bg_cmb,vbeta,full,True,True,True,True,True,9,exotic/full/vbeta/exo_uvlf_bg_cmb_vbeta_full
exo_ceers_vshmr_full,exo,ceers,vshmr,full,True,False,False,False,True,8,exotic/full/vshmr/exo_ceers_vshmr_full
exo_primer_vshmr_full,exo,primer,vshmr,full,True,False,False,True,False,8,exotic/full/vshmr/exo_primer_vshmr_full
exo_uvlf_vshmr_full,exo,uvlf,vshmr,full,True,False,False,True,True,8,exotic/full/vshmr/exo_uvlf_vshmr_full
exo_ceers_bg_vshmr_full,exo,ceers_bg,vshmr,full,True,True,False,False,True,8,exotic/full/vshmr/exo_ceers_bg_vshmr_full
exo_primer_bg_vshmr_full,exo,primer_bg,vshmr,full,True,True,False,True,False,8,exotic/full/vshmr/exo_primer_bg_vshmr_full
exo_uvlf_bg_vshmr_full,exo,uvlf_bg,vshmr,full,True,True,False,True,True,8,exotic/full/vshmr/exo_uvlf_bg_vshmr_full
exo_ceers_cmb_vshmr_full,exo,ceers_cmb,vshmr,full,True,False,True,False,True,11,exotic/full/vshmr/exo_ceers_cmb_vshmr_full
exo_primer_cmb_vshmr_full,exo,primer_cmb,vshmr,full,True,False,True,True,False,11,exotic/full/vshmr/exo_primer_cmb_vshmr_full
exo_uvlf_cmb_vshmr_full,exo,uvlf_cmb,vshmr,full,True,False,True,True,True,11,exotic/full/vshmr/exo_uvlf_cmb_vshmr_full
exo_ceers_bg_cmb_vshmr_full,exo,ceers_bg_cmb,vshmr,full,True,True,True,False,True,11,exotic/full/vshmr/exo_ceers_bg_cmb_vshmr_full
exo_primer_bg_cmb_vshmr_full,exo,primer_bg_cmb,vshmr,full,True,True,True,True,False,11,exotic/full/vshmr/exo_primer_bg_cmb_vshmr_full
exo_uvlf_bg_cmb_vshmr_full,exo,uvlf_bg_cmb,vshmr,full,True,True,True,True,True,11,exotic/full/vshmr/exo_uvlf_bg_cmb_vshmr_full
exo_ceers_fixed_restr,exo,ceers,fixed,restr,True,False,False,False,True,5,exotic/restr/fixed/exo_ceers_fixed_restr
exo_primer_fixed_restr,exo,primer,fixed,restr,True,False,False,True,False,5,exotic/restr/fixed/exo_primer_fixed_restr
exo_uvlf_fixed_restr,exo,uvlf,fixed,restr,True,False,False,True,True,5,exotic/restr/fixed/exo_uvlf_fixed_restr
